Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE
1,20,1,64,4,3,3,512,0.1,32,73.53080885141242
2,20,1,64,4,3,3,512,0.1,64,71.23341495911922
3,20,1,64,4,3,3,512,0.2,32,152.09925536815473
4,20,1,64,4,3,3,512,0.2,64,73.39211176141104
5,20,1,64,4,3,3,1024,0.1,32,88.08018886360448
6,20,1,64,4,3,3,1024,0.1,64,154.2558765840881
7,20,1,64,4,3,3,1024,0.2,32,168.93343075677896
8,20,1,64,4,3,3,1024,0.2,64,67.96676537914585
9,20,1,64,4,3,4,512,0.1,32,150.06404889089984
10,20,1,64,4,3,4,512,0.1,64,76.88893643761362
11,20,1,64,4,3,4,512,0.2,32,120.1142730716356
12,20,1,64,4,3,4,512,0.2,64,73.14257374582157
13,20,1,64,4,3,4,1024,0.1,32,151.91689065031363
14,20,1,64,4,3,4,1024,0.1,64,107.20081361380431
15,20,1,64,4,3,4,1024,0.2,32,136.3140458039126
16,20,1,64,4,3,4,1024,0.2,64,78.83615637601804
17,20,1,64,4,4,3,512,0.1,32,125.49596467395784
18,20,1,64,4,4,3,512,0.1,64,144.37781015907854
19,20,1,64,4,4,3,512,0.2,32,80.95699300515372
20,20,1,64,4,4,3,512,0.2,64,224.1744489759889
21,20,1,64,4,4,3,1024,0.1,32,113.373331767003
22,20,1,64,4,4,3,1024,0.1,64,148.60643987623257
23,20,1,64,4,4,3,1024,0.2,32,80.5324845712281
24,20,1,64,4,4,3,1024,0.2,64,155.98714365689042
25,20,1,64,4,4,4,512,0.1,32,167.3991196270978
26,20,1,64,4,4,4,512,0.1,64,121.33975190053708
27,20,1,64,4,4,4,512,0.2,32,211.9438753195163
28,20,1,64,4,4,4,512,0.2,64,143.0050990944037
29,20,1,64,4,4,4,1024,0.1,32,150.63563554926142
30,20,1,64,4,4,4,1024,0.1,64,127.99678078705485
31,20,1,64,4,4,4,1024,0.2,32,444.49680284541074
32,20,1,64,4,4,4,1024,0.2,64,113.71409970973863
33,20,1,64,8,3,3,512,0.1,32,115.7756931254934
34,20,1,64,8,3,3,512,0.1,64,195.75648251028
35,20,1,64,8,3,3,512,0.2,32,79.31800495670652
36,20,1,64,8,3,3,512,0.2,64,161.57639143337855
37,20,1,64,8,3,3,1024,0.1,32,65.7446535592082
38,20,1,64,8,3,3,1024,0.1,64,184.6943031593437
39,20,1,64,8,3,3,1024,0.2,32,64.69799124590541
40,20,1,64,8,3,3,1024,0.2,64,66.38450209494516
41,20,1,64,8,3,4,512,0.1,32,123.96448975607775
42,20,1,64,8,3,4,512,0.1,64,76.25502636123836
43,20,1,64,8,3,4,512,0.2,32,66.52707563248678
44,20,1,64,8,3,4,512,0.2,64,78.11356247694268
45,20,1,64,8,3,4,1024,0.1,32,196.5923908587147
46,20,1,64,8,3,4,1024,0.1,64,114.63967016896662
47,20,1,64,8,3,4,1024,0.2,32,141.28455345352396
48,20,1,64,8,3,4,1024,0.2,64,63.79908281695243
49,20,1,64,8,4,3,512,0.1,32,113.77017496275754
50,20,1,64,8,4,3,512,0.1,64,125.93769556634535
51,20,1,64,8,4,3,512,0.2,32,112.28358916564372
52,20,1,64,8,4,3,512,0.2,64,122.63829897151948
53,20,1,64,8,4,3,1024,0.1,32,176.88264047561037
54,20,1,64,8,4,3,1024,0.1,64,1851.797919005486
55,20,1,64,8,4,3,1024,0.2,32,1964.6493405843992
